Sun Nov 15 12:10:01 CET 2015 12:10:01 up 2:38, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 12:20:01 CET 2015 12:20:01 up 2:48, 0 users, load average: 0.01, 0.02, 0.05
Sun Nov 15 12:30:01 CET 2015 12:30:01 up 2:58, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 12:40:01 CET 2015 12:40:01 up 3:08, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 12:50:01 CET 2015 12:50:01 up 3:18, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 13:00:01 CET 2015 13:00:01 up 3:28, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 13:10:01 CET 2015 13:10:02 up 3:38, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 13:20:01 CET 2015 13:20:01 up 3:48, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 13:30:01 CET 2015 13:30:01 up 3:58, 0 users, load average: 0.01, 0.02, 0.05
Sun Nov 15 13:40:01 CET 2015 13:40:01 up 4:08, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 15 14:30:01 CET 2015 14:30:01 up 5 min, 0 users, load average: 0.00, 0.04, 0.04
Sun Nov 15 14:40:01 CET 2015 14:40:01 up 15 min, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 15 14:50:01 CET 2015 14:50:01 up 25 min, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 15 15:00:01 CET 2015 15:00:01 up 35 min, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 15 15:10:01 CET 2015 15:10:01 up 45 min, 0 users, load average: 0.00, 0.01, 0.04
Mon Nov 16 10:20:01 CET 2015 10:20:01 up 8 min, 0 users, load average: 0.00, 0.03, 0.05
Mon Nov 16 10:30:01 CET 2015 10:30:01 up 18 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 10:40:01 CET 2015 10:40:01 up 28 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 10:50:01 CET 2015 10:50:01 up 38 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 11:00:01 CET 2015 11:00:01 up 48 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 11:10:01 CET 2015 11:10:01 up 58 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 11:20:01 CET 2015 11:20:01 up 1:08, 0 users, load average: 0.02, 0.02, 0.05
Mon Nov 16 11:30:02 CET 2015 11:30:02 up 1:18, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 11:40:01 CET 2015 11:40:01 up 1:28, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 11:50:01 CET 2015 11:50:01 up 1:38, 0 users, load average: 0.02, 0.02, 0.05
Mon Nov 16 12:00:01 CET 2015 12:00:01 up 1:48, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 12:10:01 CET 2015 12:10:01 up 1:58, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 12:20:01 CET 2015 12:20:01 up 2:08, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 12:30:01 CET 2015 12:30:01 up 2:18, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 12:40:01 CET 2015 12:40:01 up 2:28, 0 users, load average: 0.03, 0.02, 0.05
Mon Nov 16 12:50:01 CET 2015 12:50:01 up 2:38, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 13:00:01 CET 2015 13:00:01 up 2:48, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 13:10:01 CET 2015 13:10:01 up 2:58, 0 users, load average: 0.00, 0.02, 0.05
Mon Nov 16 13:20:01 CET 2015 13:20:01 up 3:08, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 16 13:30:01 CET 2015 13:30:01 up 3:18, 0 users, load average: 0.05, 0.03, 0.05
Mon Nov 16 13:40:01 CET 2015 13:40:01 up 3:28, 0 users, load average: 0.00, 0.01, 0.05
Tue Nov 17 11:40:01 CET 2015 11:40:01 up 1 min, 0 users, load average: 0.04, 0.04, 0.02
Tue Nov 17 11:50:01 CET 2015 11:50:01 up 11 min, 0 users, load average: 0.00, 0.01, 0.02
Tue Nov 17 12:00:01 CET 2015 12:00:01 up 21 min, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 12:10:01 CET 2015 12:10:01 up 31 min, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 12:20:01 CET 2015 12:20:01 up 41 min, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 12:30:01 CET 2015 12:30:01 up 51 min, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 12:40:01 CET 2015 12:40:01 up 1:01, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 12:50:01 CET 2015 12:50:01 up 1:11, 0 users, load average: 0.00, 0.01, 0.03
Tue Nov 17 13:00:01 CET 2015 13:00:01 up 1:21, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 13:10:01 CET 2015 13:10:01 up 1:31, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 13:20:01 CET 2015 13:20:01 up 1:41, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 13:30:01 CET 2015 13:30:01 up 1:51, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 13:40:01 CET 2015 13:40:01 up 2:01, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 13:50:01 CET 2015 13:50:01 up 2:11, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 14:00:01 CET 2015 14:00:01 up 2:21, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 17 14:10:01 CET 2015 14:10:01 up 2:31, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 21 11:10:01 CET 2015 11:10:01 up 2 min, 0 users, load average: 0.25, 0.24, 0.10
Sat Nov 21 11:20:01 CET 2015 11:20:01 up 11 min, 0 users, load average: 0.00, 0.04, 0.05
Sat Nov 21 11:30:01 CET 2015 11:30:01 up 21 min, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 21 11:40:01 CET 2015 11:40:01 up 31 min, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 21 11:50:01 CET 2015 11:50:01 up 41 min, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 21 12:00:01 CET 2015 12:00:01 up 51 min, 0 users, load average: 0.11, 0.07, 0.06
Sat Nov 21 12:10:01 CET 2015 12:10:01 up 1:01, 1 user, load average: 0.00, 0.01, 0.05
Sat Nov 21 13:00:01 CET 2015 13:00:01 up 6 min, 0 users, load average: 0.00, 0.04, 0.04
Sat Nov 21 13:10:01 CET 2015 13:10:02 up 16 min, 0 users, load average: 0.05, 0.03, 0.05
Sat Nov 21 13:20:01 CET 2015 13:20:01 up 26 min, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 21 13:30:01 CET 2015 13:30:01 up 36 min, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 21 13:40:01 CET 2015 13:40:01 up 46 min, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 10:50:01 CET 2015 10:50:01 up 5 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:00:01 CET 2015 11:00:01 up 15 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:10:01 CET 2015 11:10:01 up 25 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:20:01 CET 2015 11:20:01 up 35 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:30:01 CET 2015 11:30:01 up 45 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:40:01 CET 2015 11:40:01 up 55 min, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 11:50:01 CET 2015 11:50:01 up 1:05, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 12:00:01 CET 2015 12:00:01 up 1:15, 0 users, load average: 0.00, 0.01, 0.02
Sun Nov 22 12:10:01 CET 2015 12:10:01 up 1:25, 0 users, load average: 0.02, 0.02, 0.03
Sun Nov 22 12:20:01 CET 2015 12:20:01 up 1:35, 0 users, load average: 0.01, 0.02, 0.03
Sun Nov 22 12:30:01 CET 2015 12:30:01 up 1:45, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 12:40:01 CET 2015 12:40:01 up 1:55, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 12:50:01 CET 2015 12:50:01 up 2:05, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 13:00:01 CET 2015 13:00:01 up 2:15, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 13:10:01 CET 2015 13:10:01 up 2:25, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 22 13:20:01 CET 2015 13:20:01 up 2:35, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 22 13:30:01 CET 2015 13:30:01 up 2:45, 0 users, load average: 0.00, 0.01, 0.04
Sun Nov 22 13:40:01 CET 2015 13:40:01 up 2:55, 0 users, load average: 0.01, 0.02, 0.04
Sun Nov 22 13:50:01 CET 2015 13:50:01 up 3:05, 0 users, load average: 0.01, 0.02, 0.05
Sun Nov 22 14:00:01 CET 2015 14:00:01 up 3:15, 0 users, load average: 0.03, 0.03, 0.05
Sun Nov 22 14:10:01 CET 2015 14:10:01 up 3:25, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 14:20:01 CET 2015 14:20:01 up 3:35, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 14:30:01 CET 2015 14:30:01 up 3:45, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 14:40:01 CET 2015 14:40:01 up 3:55, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 14:50:01 CET 2015 14:50:01 up 4:05, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 15:00:01 CET 2015 15:00:01 up 4:15, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 15:10:01 CET 2015 15:10:01 up 4:25, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 15:20:01 CET 2015 15:20:01 up 4:35, 0 users, load average: 0.07, 0.03, 0.05
Sun Nov 22 15:30:01 CET 2015 15:30:01 up 4:45, 0 users, load average: 0.00, 0.01, 0.05
Sun Nov 22 15:40:01 CET 2015 15:40:01 up 5 min, 0 users, load average: 0.00, 0.02, 0.02
Sun Nov 22 15:50:01 CET 2015 15:50:02 up 15 min, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 16:00:01 CET 2015 16:00:01 up 25 min, 0 users, load average: 0.05, 0.03, 0.03
Sun Nov 22 16:10:01 CET 2015 16:10:01 up 35 min, 0 users, load average: 0.00, 0.01, 0.03
Sun Nov 22 16:20:01 CET 2015 16:20:01 up 45 min, 0 users, load average: 0.00, 0.01, 0.03
Mon Nov 23 11:20:01 CET 2015 11:20:01 up 5 min, 0 users, load average: 0.01, 0.11, 0.07
Mon Nov 23 11:30:01 CET 2015 11:30:01 up 15 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 11:40:01 CET 2015 11:40:01 up 25 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 11:50:01 CET 2015 11:50:01 up 35 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 12:00:01 CET 2015 12:00:01 up 45 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 12:10:01 CET 2015 12:10:01 up 55 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 12:20:01 CET 2015 12:20:01 up 1:05, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 12:30:01 CET 2015 12:30:01 up 1:15, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 13:50:01 CET 2015 13:50:01 up 9 min, 0 users, load average: 0.00, 0.12, 0.13
Mon Nov 23 14:00:01 CET 2015 14:00:01 up 19 min, 0 users, load average: 0.00, 0.01, 0.07
Mon Nov 23 14:10:01 CET 2015 14:10:01 up 29 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 14:20:01 CET 2015 14:20:01 up 39 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 14:30:01 CET 2015 14:30:01 up 49 min, 0 users, load average: 0.00, 0.01, 0.05
Mon Nov 23 14:40:01 CET 2015 14:40:01 up 59 min, 0 users, load average: 0.00, 0.01, 0.05
Tue Nov 24 11:40:01 CET 2015 11:40:01 up 4 min, 0 users, load average: 0.01, 0.05, 0.04
Tue Nov 24 11:50:02 CET 2015 11:50:02 up 14 min, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:00:01 CET 2015 12:00:01 up 24 min, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:10:01 CET 2015 12:10:01 up 34 min, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:20:01 CET 2015 12:20:01 up 44 min, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:30:01 CET 2015 12:30:01 up 54 min, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:40:01 CET 2015 12:40:01 up 1:04, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 12:50:01 CET 2015 12:50:01 up 1:14, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 13:00:01 CET 2015 13:00:01 up 1:24, 0 users, load average: 0.00, 0.01, 0.04
Tue Nov 24 13:10:01 CET 2015 13:10:01 up 1:34, 0 users, load average: 0.00, 0.01, 0.05
Tue Nov 24 13:20:01 CET 2015 13:20:01 up 1:44, 0 users, load average: 0.00, 0.01, 0.05
Tue Nov 24 13:20:01 CET 2015 13:20:01 up 3 min, 0 users, load average: 0.01, 0.03, 0.02
Wed Nov 25 10:40:01 CET 2015 10:40:01 up 14 min, 0 users, load average: 0.00, 0.01, 0.02
Wed Nov 25 10:50:01 CET 2015 10:50:01 up 24 min, 0 users, load average: 0.04, 0.04, 0.04
Wed Nov 25 11:00:01 CET 2015 11:00:01 up 34 min, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 12:10:01 CET 2015 12:10:01 up 8 min, 0 users, load average: 0.00, 0.02, 0.03
Wed Nov 25 12:20:01 CET 2015 12:20:01 up 18 min, 0 users, load average: 0.00, 0.01, 0.03
Wed Nov 25 12:30:01 CET 2015 12:30:01 up 28 min, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 12:40:01 CET 2015 12:40:01 up 38 min, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 12:50:01 CET 2015 12:50:01 up 48 min, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 13:00:01 CET 2015 13:00:01 up 58 min, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 13:10:01 CET 2015 13:10:01 up 1:08, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 13:20:01 CET 2015 13:20:01 up 1:18, 0 users, load average: 0.00, 0.01, 0.04
Wed Nov 25 13:30:01 CET 2015 13:30:01 up 1:28, 0 users, load average: 0.01, 0.02, 0.05
Wed Nov 25 13:40:01 CET 2015 13:40:01 up 1:38, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 13:50:01 CET 2015 13:50:01 up 1:48, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 14:00:01 CET 2015 14:00:01 up 1:58, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 14:10:01 CET 2015 14:10:01 up 2:08, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 14:20:01 CET 2015 14:20:01 up 2:18, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 14:30:01 CET 2015 14:30:01 up 2:28, 0 users, load average: 0.00, 0.01, 0.05
Wed Nov 25 14:40:01 CET 2015 14:40:01 up 2:38, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 13:30:01 CET 2015 13:30:01 up 3 min, 0 users, load average: 0.05, 0.13, 0.06
Fri Nov 27 13:40:01 CET 2015 13:40:01 up 13 min, 0 users, load average: 0.00, 0.02, 0.05
Fri Nov 27 13:50:01 CET 2015 13:50:01 up 23 min, 0 users, load average: 0.08, 0.03, 0.05
Fri Nov 27 14:00:01 CET 2015 14:00:01 up 33 min, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 27 14:10:01 CET 2015 14:10:01 up 43 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 14:20:01 CET 2015 14:20:01 up 53 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 14:30:01 CET 2015 14:30:01 up 1:03, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 14:40:01 CET 2015 14:40:01 up 1:13, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 14:50:01 CET 2015 14:50:01 up 1:23, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 15:00:01 CET 2015 15:00:01 up 1:33, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 15:10:02 CET 2015 15:10:02 up 1:43, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 15:20:01 CET 2015 15:20:01 up 1:53, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 15:30:01 CET 2015 15:30:01 up 2:03, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 15:40:01 CET 2015 15:40:01 up 2:13, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 17:00:01 CET 2015 17:00:01 up 7 min, 0 users, load average: 0.00, 0.06, 0.05
Fri Nov 27 17:10:01 CET 2015 17:10:01 up 17 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 17:20:01 CET 2015 17:20:01 up 27 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 17:30:01 CET 2015 17:30:01 up 37 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 17:40:01 CET 2015 17:40:01 up 47 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 17:50:01 CET 2015 17:50:01 up 57 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:00:01 CET 2015 18:00:01 up 1:07, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:10:01 CET 2015 18:10:01 up 1:17, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:20:01 CET 2015 18:20:01 up 1:27, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:30:01 CET 2015 18:30:01 up 1:37, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:40:01 CET 2015 18:40:01 up 1:47, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 18:50:01 CET 2015 18:50:01 up 1:57, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:00:01 CET 2015 19:00:01 up 2:07, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:10:02 CET 2015 19:10:02 up 2:17, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:20:01 CET 2015 19:20:01 up 2:27, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:30:01 CET 2015 19:30:01 up 2:37, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:40:01 CET 2015 19:40:01 up 2:47, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 19:50:01 CET 2015 19:50:01 up 2:57, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 20:00:01 CET 2015 20:00:01 up 3:07, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 20:10:01 CET 2015 20:10:01 up 3:17, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 20:20:01 CET 2015 20:20:01 up 3:27, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 20:30:01 CET 2015 20:30:01 up 3:37, 0 users, load average: 0.05, 0.03, 0.05
Fri Nov 27 20:40:01 CET 2015 20:40:01 up 3:47, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 20:50:01 CET 2015 20:50:01 up 3:57, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 27 21:00:01 CET 2015 21:00:01 up 4:07, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 21:10:01 CET 2015 21:10:01 up 4:17, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 21:20:01 CET 2015 21:20:01 up 4:27, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 21:30:01 CET 2015 21:30:01 up 4:37, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 21:40:01 CET 2015 21:40:01 up 4:47, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 21:50:01 CET 2015 21:50:01 up 4:57, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:00:01 CET 2015 22:00:01 up 5:07, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:10:01 CET 2015 22:10:01 up 5:17, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:20:01 CET 2015 22:20:01 up 5:27, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:30:01 CET 2015 22:30:01 up 5:37, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:40:01 CET 2015 22:40:01 up 5:47, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 22:50:01 CET 2015 22:50:01 up 5:57, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 27 23:00:01 CET 2015 23:00:01 up 6:07, 0 users, load average: 0.00, 0.01, 0.05
