Thu Nov 12 21:00:01 CET 2015 21:00:01 up 9:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 21:10:01 CET 2015 21:10:01 up 9:46, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 21:20:01 CET 2015 21:20:01 up 9:56, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 21:30:01 CET 2015 21:30:01 up 10:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 21:40:01 CET 2015 21:40:01 up 10:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 21:50:01 CET 2015 21:50:01 up 10:26, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:00:01 CET 2015 22:00:01 up 10:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:10:01 CET 2015 22:10:01 up 10:46, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:20:01 CET 2015 22:20:01 up 10:56, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:30:01 CET 2015 22:30:01 up 11:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:40:01 CET 2015 22:40:01 up 11:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 22:50:01 CET 2015 22:50:01 up 11:26, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 23:00:01 CET 2015 23:00:01 up 11:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 23:10:01 CET 2015 23:10:01 up 11:46, 0 users, load average: 0.01, 0.02, 0.05
Thu Nov 12 23:20:01 CET 2015 23:20:01 up 11:56, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 23:30:01 CET 2015 23:30:01 up 12:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 23:40:01 CET 2015 23:40:01 up 12:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 23:50:01 CET 2015 23:50:01 up 12:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:00:01 CET 2015 00:00:01 up 12:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:10:01 CET 2015 00:10:01 up 12:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:20:01 CET 2015 00:20:01 up 12:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:30:01 CET 2015 00:30:01 up 13:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:40:01 CET 2015 00:40:01 up 13:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 00:50:01 CET 2015 00:50:01 up 13:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:00:01 CET 2015 01:00:01 up 13:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:10:01 CET 2015 01:10:01 up 13:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:20:01 CET 2015 01:20:01 up 13:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:30:02 CET 2015 01:30:02 up 14:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:40:01 CET 2015 01:40:01 up 14:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 01:50:01 CET 2015 01:50:01 up 14:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:00:01 CET 2015 02:00:01 up 14:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:10:01 CET 2015 02:10:01 up 14:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:20:01 CET 2015 02:20:01 up 14:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:30:01 CET 2015 02:30:01 up 15:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:40:01 CET 2015 02:40:01 up 15:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 02:50:01 CET 2015 02:50:01 up 15:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:00:01 CET 2015 03:00:01 up 15:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:10:01 CET 2015 03:10:01 up 15:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:20:01 CET 2015 03:20:01 up 15:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:30:01 CET 2015 03:30:01 up 16:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:40:01 CET 2015 03:40:01 up 16:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 03:50:01 CET 2015 03:50:01 up 16:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 04:00:01 CET 2015 04:00:01 up 16:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 04:10:01 CET 2015 04:10:01 up 16:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 04:20:01 CET 2015 04:20:01 up 16:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 04:30:01 CET 2015 04:30:01 up 17:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 04:40:01 CET 2015 04:40:01 up 17:16, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 04:50:02 CET 2015 04:50:02 up 17:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:00:01 CET 2015 05:00:01 up 17:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:10:01 CET 2015 05:10:01 up 17:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:20:01 CET 2015 05:20:01 up 17:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:30:01 CET 2015 05:30:01 up 18:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:40:01 CET 2015 05:40:01 up 18:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 05:50:01 CET 2015 05:50:01 up 18:26, 0 users, load average: 0.00, 0.01, 0.05
